,policyID
0,119736
1,448094
2,206893
3,333743
4,172534
5,785275
6,995932
7,223488
8,433512
9,142071
10,253816
11,894922
12,422834
13,582721
14,842700
15,874333
16,580146
17,456149
18,767862
19,353022
20,367814
21,671392
22,772887
23,983122
24,934215
25,385951
26,716332
27,751262
28,633663
29,105851
30,710400
31,703001
32,352792
33,717603
34,937659
35,294022
36,410500
37,524433
38,779298
39,491831
40,814637
41,737515
42,222653
43,788543
44,691681
45,368807
46,174002
47,198760
48,831395
49,305698
50,515722
51,415582
52,783533
53,640802
54,403866
55,828788
56,751490
57,972562
58,367541
59,481360
60,920232
61,727659
62,471817
63,983043
64,578286
65,347276
66,477786
67,265907
68,107560
69,908183
70,356024
71,575299
72,790478
73,801776
74,291781
75,537286
76,289305
77,697409
78,633944
79,963511
80,729649
81,862584
82,371891
83,785595
84,567696
85,219025
86,447216
87,305141
88,625575
89,262109
90,228457
91,622799
92,233271
93,932950
94,641952
95,796260
96,301822
97,559927
98,224400
99,123936
100,333818
101,254323
102,247444
103,882598
104,386918
105,497337
106,526844
107,623400
108,826170
109,185483
110,920003
111,274246
112,423636
113,970906
114,227898
115,525138
116,923627
117,619743
118,910727
119,363647
120,512519
121,904304
122,835349
123,891725
124,923503
125,292347
126,363828
127,110490
128,480733
129,993346
130,934992
131,645841
132,747846
133,482457
134,574787
135,831418
136,968562
137,576324
138,290435
139,526086
140,119823
141,497414
142,340883
143,892551
144,670595
145,194101
146,167200
147,139064
148,846636
149,310177
150,865452
151,783429
152,878060
153,935342
154,456376
155,363001
156,478864
157,600402
158,483983
159,991615
160,644573
161,853278
162,100658
163,433115
164,760337
165,884738
166,610102
167,830823
168,618364
169,712563
170,493030
171,188150
172,589642
173,846109
174,399079
175,680135
176,621379
177,606710
178,443319
179,228591
180,721610
181,507395
182,213399
183,579400
184,509951
185,930798
186,729247
187,288344
188,275351
189,976690
190,507111
191,547458
192,827732
193,229489
194,175251
195,590043
196,476037
197,674960
198,743790
199,817283
200,201980
201,351505
202,798806
203,153643
204,683653
205,475264
206,912944
207,945134
208,219959
209,793504
210,450423
211,505178
212,408688
213,477759
214,882441
215,727602
216,313226
217,337027
218,649251
219,142564
220,197782
221,709787
222,655065
223,176778
224,559179
225,698071
226,642950
227,477240
228,672348
229,922844
230,948580
231,364552
232,561601
233,584749
234,601327
235,302578
236,756585
237,627591
238,663563
239,108959
240,951069
241,490641
242,443968
243,433688
244,168578
245,294375
246,902110
247,279816
248,994565
249,930535
250,844642
251,292887
252,655128
253,164038
254,163057
255,327730
256,218187
257,697530
258,619053
259,431406
260,256801
261,571398
262,239669
263,530369
264,948187
265,571059
266,470539
267,791046
268,563971
269,823903
270,812504
271,597719
272,716513
273,378286
274,698982
275,624550
276,666076
277,474145
278,572929
279,640205
280,295930
281,823004
282,230536
283,936142
284,724639
285,119986
286,603370
287,532496
288,786954
289,416348
290,506364
291,311994
292,807442
293,235695
294,481294
295,292670
296,127739
297,869056
298,514471
299,903764
300,192068
301,109815
302,495339
303,752123
304,412775
305,249958
306,754919
307,829637
308,931429
309,565451
310,722334
311,630898
312,166536
313,469135
314,678786
315,284473
316,499389
317,541241
318,797586
319,812823
320,598244
321,788363
322,737787
323,445518
324,758347
325,195133
326,991548
327,696936
328,393176
329,626647
330,915781
331,827852
332,800420
333,728346
334,928642
335,442061
336,810826
337,336798
338,830917
339,984232
340,203667
341,395084
342,869242
343,704537
344,692691
345,580758
346,515486
347,884079
348,491095
349,579764
350,263177
351,710739
352,156129
353,178800
354,406073
355,450089
356,894206
357,472007
358,500287
359,365732
360,365145
361,237841
362,497561
363,245837
364,732075
365,657625
366,790556
367,207626
368,902008
369,135936
370,997759
371,470224
372,367761
373,285586
374,122164
375,152913
376,655156
377,989201
378,207985
379,732449
380,665653
381,939634
382,981796
383,269573
384,602123
385,336717
386,238449
387,530357
388,896911
389,391646
390,710345
391,944525
392,800878
393,866106
394,204794
395,849458
396,806471
397,464589
398,591943
399,973133
400,743965
401,528185
402,219113
403,376803
404,233559
405,579117
406,517674
407,980808
408,143584
409,489643
410,986109
411,654640
412,700895
413,407962
414,494610
415,744305
416,512991
417,507789
418,186262
419,978388
420,784347
421,679408
422,306619
423,457004
424,329255
425,900892
426,633241
427,502372
428,719075
429,920786
430,232605
431,601984
432,459878
433,565530
434,202651
435,909104
436,872719
437,997611
438,519606
439,624248
440,783767
441,285479
442,424793
443,256213
444,155199
445,830871
446,757768
447,176583
448,678864
449,854000
450,631978
451,967058
452,878374
453,113053
454,288738
455,594369
456,706890
457,536032
458,747825
459,608124
460,934739
461,757078
462,956518
463,548584
464,132904
465,111857
466,388383
467,276410
468,546756
469,669229
470,766573
471,765578
472,166613
473,883261
474,842655
475,248167
476,976562
477,620457
478,336697
479,648295
480,858080
481,579910
482,735184
483,420445
484,373504
485,266080
486,178535
487,574531
488,606491
489,885991
490,908170
491,487022
492,723719
493,628922
494,232316
495,151933
496,225577
497,443296
498,747464
499,548566
500,510281
501,481334
502,621142
503,907206
504,963412
505,561805
506,177053
507,888564
508,399592
509,616030
510,671336
511,914194
512,632104
513,895447
514,969519
515,149119
516,804466
517,688199
518,977912
519,312530
520,154572
521,299157
522,358433
523,131991
524,844614
525,735501
526,703956
527,547680
528,562722
529,820860
530,894562
531,577091
532,755818
533,839723
534,118899
535,612231
536,163526
537,278995
538,875706
539,712263
540,241888
541,115934
542,214979
543,601369
544,859735
545,868972
546,369631
547,130797
548,770857
549,834275
550,102432
551,776440
552,945568
553,132404
554,395018
555,248575
556,812631
557,220621
558,139061
559,419108
560,391574
561,449147
562,998635
563,437290
564,395835
565,613321
566,865150
567,635664
568,529300
569,430318
570,441395
571,294015
572,950097
573,110324
574,416938
575,586755
576,863494
577,574538
578,514370
579,373414
580,997019
581,910144
582,552357
583,655342
584,897773
585,926390
586,216408
587,548404
588,206428
589,292458
590,919465
591,630483
592,825224
593,404295
594,150387
595,946844
596,751897
597,910845
598,763316
599,727002
600,559336
601,236251
602,529747
603,858323
604,158617
605,334713
606,318842
607,649501
608,445540
609,371999
610,218472
611,580250
612,907556
613,327269
614,892361
615,398442
616,423598
617,327184
618,314582
619,975779
620,337568
621,459597
622,511988
623,455917
624,304879
625,881425
626,208817
627,918862
628,523984
629,226520
630,413066
631,177491
632,906786
633,252960
634,753041
635,275656
636,366151
637,143520
638,578715
639,728171
640,147189
641,626834
642,840720
643,911131
644,814705
645,896748
646,640263
647,756661
648,267816
649,876992
650,866801
651,135106
652,995558
653,577604
654,334208
655,601206
656,335613
657,586214
658,645424
659,584595
660,924430
661,842675
662,379599
663,280286
664,147622
665,592104
666,936914
667,689421
668,162509
669,205789
670,559033
671,411708
672,945341
673,985128
674,859902
675,767859
676,235747
677,644183
678,956443
679,278796
680,608556
681,454763
682,908461
683,333252
684,332105
685,874411
686,700665
687,582288
688,903047
689,446936
690,758257
691,205579
692,542261
693,467776
694,547808
695,148603
696,620151
697,423148
698,285805
699,666963
700,218058
701,824968
702,583791
703,288895
704,622218
705,471679
706,330603
707,340377
708,325580
709,355939
710,537551
711,817217
712,307610
713,934843
714,479633
715,261810
716,251498
717,652676
718,430162
719,107565
720,137773
721,150881
722,818305
723,772993
724,335686
725,354163
726,131859
727,102237
728,496689
729,386266
730,189496
731,448454
732,152055
733,516954
734,346222
735,827364
736,865575
737,666784
738,908304
739,724035
740,616507
741,743467
742,542565
743,666420
744,716343
745,166243
746,869527
747,793316
748,525660
749,228542
750,345892
751,235832
752,710139
753,352426
754,384442
755,286876
756,300150
757,604759
758,374411
759,447691
760,735405
761,476328
762,188892
763,738918
764,320338
765,443947
766,167317
767,430437
768,873593
769,653808
770,122734
771,603486
772,855783
773,379870
774,536577
775,178873
776,300562
777,555619
778,758060
779,489526
780,861565
781,692765
782,428588
783,116583
784,779587
785,827888
786,983194
787,549068
788,116416
789,787983
790,473317
791,139920
792,464379
793,110577
794,964532
795,783365
796,243580
797,936931
798,464273
799,142893
800,583948
801,466262
802,868179
803,368509
804,825334
805,584286
806,426369
807,621175
808,740683
809,974438
810,443137
811,174313
812,515429
813,168714
814,967565
815,216270
816,650875
817,971511
818,413953
819,450658
820,228299
821,717202
822,772804
823,932466
824,533299
825,284003
